x,a2=40,a2=50,a2=60,a2=65,a2=70,a2=75,a2=80
0.79155,0.020998,0.022796,0.024646,0.029691,0.038539,0.049939,0.063647
0.79221,0.020978,0.022777,0.024636,0.029689,0.038551,0.049965,0.063672
0.79596,0.020861,0.022671,0.024582,0.02966,0.038618,0.050116,0.063814
0.79732,0.020817,0.022633,0.024562,0.029645,0.038643,0.050171,0.063865
0.80253,0.020633,0.022487,0.024482,0.029569,0.038739,0.050381,0.064064
0.81718,0.020083,0.022102,0.024147,0.02931,0.039034,0.050974,0.064632
0.82761,0.019795,0.021869,0.023794,0.029196,0.039279,0.051402,0.065052
0.82777,0.019791,0.021866,0.023789,0.029196,0.039283,0.051408,0.065059
0.83322,0.019679,0.021767,0.023639,0.029189,0.039431,0.051636,0.065286
0.83425,0.01966,0.02175,0.023616,0.029191,0.039461,0.05168,0.06533
0.84381,0.019495,0.021624,0.023499,0.029268,0.039776,0.052093,0.065749
0.84509,0.019474,0.021611,0.023497,0.029285,0.039824,0.052149,0.065808
0.84904,0.019411,0.021575,0.023509,0.029345,0.039982,0.052325,0.065992
0.86374,0.019174,0.02149,0.023701,0.029661,0.040706,0.053003,0.066756
0.86898,0.019077,0.021471,0.023799,0.029802,0.041009,0.053253,0.067059
0.87193,0.019015,0.021461,0.023857,0.029886,0.041182,0.053396,0.067234
0.88467,0.018621,0.021419,0.024102,0.030287,0.041896,0.05403,0.068015
0.88483,0.018616,0.021418,0.024104,0.030292,0.041905,0.054038,0.068025
0.8874,0.018552,0.021408,0.024148,0.030379,0.042039,0.05417,0.06818
0.88882,0.018528,0.021401,0.02417,0.030428,0.042112,0.054243,0.068265
0.89248,0.018501,0.021384,0.024224,0.030555,0.042297,0.054432,0.06848
0.89291,0.0185,0.021382,0.02423,0.03057,0.042318,0.054455,0.068505
0.91025,0.018603,0.021283,0.024434,0.031198,0.043153,0.055379,0.069504
0.92015,0.018682,0.021218,0.024556,0.031564,0.043607,0.055923,0.070089
0.92725,0.01872,0.021169,0.024666,0.031837,0.043921,0.056317,0.070525
0.93028,0.018727,0.021148,0.024721,0.031958,0.044052,0.056487,0.070716
0.93601,0.018718,0.021108,0.024836,0.032198,0.044294,0.05681,0.071086
0.94201,0.018677,0.021067,0.024977,0.032463,0.044538,0.057151,0.07148
0.95445,0.018545,0.020985,0.025341,0.033066,0.04504,0.057869,0.072307
0.95743,0.018515,0.020967,0.025443,0.033222,0.045168,0.058043,0.072504
0.95845,0.018506,0.020961,0.02548,0.033276,0.045214,0.058103,0.072572
0.96528,0.018454,0.020923,0.025745,0.033652,0.04555,0.058508,0.073023
0.97288,0.018422,0.02089,0.026071,0.03409,0.046009,0.058968,0.073518
0.97745,0.01841,0.020874,0.026278,0.034361,0.046338,0.05925,0.073811
0.99679,0.018402,0.020861,0.027194,0.035566,0.048024,0.060507,0.075023
1.00083,0.018406,0.020872,0.02738,0.035827,0.048405,0.060782,0.075275
1.00169,0.018406,0.020875,0.027419,0.035883,0.048486,0.060841,0.075329
1.0054,0.018411,0.02089,0.027585,0.036125,0.048832,0.061098,0.075562
1.01352,0.018422,0.02094,0.027951,0.036662,0.049557,0.061666,0.076078
1.01431,0.018424,0.020947,0.027988,0.036715,0.049625,0.061722,0.076129
1.02628,0.018439,0.021066,0.028597,0.03753,0.050594,0.062572,0.076937
1.03059,0.018441,0.021122,0.028845,0.037832,0.050922,0.06288,0.077254
1.032,0.018441,0.021141,0.028929,0.037932,0.051027,0.06298,0.077363
1.04699,0.018403,0.021402,0.029868,0.039034,0.05214,0.064046,0.078815
1.05426,0.018365,0.021565,0.03034,0.039591,0.052699,0.064558,0.079608
1.05486,0.018362,0.021579,0.030378,0.039637,0.052746,0.0646,0.079667
1.05487,0.018362,0.02158,0.030379,0.039638,0.052747,0.064601,0.079668
1.05676,0.018351,0.021627,0.030502,0.039785,0.052897,0.064733,0.079846
1.05876,0.018338,0.021679,0.030631,0.03994,0.053058,0.064872,0.080026
1.06451,0.018301,0.021839,0.030997,0.040391,0.053535,0.065269,0.080515
1.08234,0.018175,0.022431,0.032193,0.041807,0.055144,0.066484,0.081961
1.08238,0.018175,0.022432,0.032196,0.04181,0.055147,0.066486,0.081964
1.089,0.018126,0.022681,0.03272,0.042339,0.055777,0.066931,0.082551
1.10148,0.018035,0.023176,0.033803,0.043341,0.056987,0.067765,0.083834
1.10157,0.018034,0.02318,0.033811,0.043349,0.056997,0.067771,0.083844
1.10455,0.018013,0.0233,0.034077,0.043588,0.057287,0.067969,0.084167
1.10539,0.018007,0.023334,0.034153,0.043656,0.057369,0.068026,0.084257
1.10801,0.017988,0.02344,0.034387,0.043866,0.057623,0.0682,0.084533
1.10806,0.017988,0.023442,0.034392,0.04387,0.057628,0.068203,0.084538
